file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
hindi24__2352,0.0,21.24325,reference_wav,-70.03353048493409,,,17.226457772628912
gujarati3__200,0.0,21.35075,reference_wav,-57.55849677985948,,,23.809051714375272
hindi11__1437,0.0,27.3589375,reference_wav,-54.756447596856724,,,26.75121496049913
hindi14__1697,0.0,28.558,reference_wav,-55.24278383228291,,,20.930604239417697
gujarati4__610,0.0,46.6140625,reference_wav,-49.63966624651362,,,23.82041263721273
hindi30__2478,0.0,24.2959375,reference_wav,-54.66671167695473,,,28.17539998324999
hindi5__845,0.0,29.6551875,reference_wav,-50.99795600134862,,,22.77084046381566
gujarati1__198,0.0,37.2541875,reference_wav,-54.21717701342282,,,11.352333409492472
gujarati13__2409,0.0,21.762125,reference_wav,-58.37573601217831,,,19.31917436599873
hindi18__2125,0.0,22.7219375,reference_wav,-62.027646346830984,,,23.64373231865964
hindi13__1633,0.0,35.7526875,reference_wav,-58.015786713286715,,,22.137802062639153
gujarati15__2498,0.0,22.047375,reference_wav,-55.462535430839004,,,24.486565544675965
hindi20__2209,0.0,21.224625,reference_wav,-59.19708706409048,,,18.80874746341801
gujarati8__1678,0.0,25.43225,reference_wav,-54.83200206449076,,,23.947709821047223
hindi28__2366,0.0,24.7016875,reference_wav,-64.43503922064777,,,22.098177986167215
gujarati10__2292,0.0,28.2731875,reference_wav,-52.607335514679875,,,25.51227526851801
hindi8__910,0.0,20.2538125,reference_wav,-64.02055555555556,,,25.273947405400882
hindi9__1017,0.0,20.0886875,reference_wav,-57.647788078646094,,,29.34338044327856
hindi26__2354,0.0,19.340375,reference_wav,-67.43903503102378,,,22.860262693972015
hindi19__2206,0.0,28.052375,reference_wav,-53.400685160427805,,,26.56179085783439
gujarati14__2416,0.0,23.2823125,reference_wav,-57.596401149054984,,,25.757670113771965
hindi4__765,0.0,32.7200625,reference_wav,-53.08767573349633,,,24.26747762667973
hindi17__1988,0.0,27.829125,reference_wav,-54.06838393819619,,,24.336379978726807
hindi7__867,0.0,30.4340625,reference_wav,-51.89834764212948,,,24.47255443363787
hindi32__2703,0.0,26.3504375,reference_wav,-59.450539611005695,,,26.014788301498267
hindi6__866,0.0,22.8235,reference_wav,-56.54859703659071,,,22.324202070381737
hindi27__2356,0.0,23.1011875,reference_wav,-56.216301406926405,,,21.026198929822726
gujarati6__1143,0.0,32.2245,reference_wav,-59.82419207790193,,,14.728923553665524
gujarati9__2041,0.0,25.498375,reference_wav,-56.27924019607843,,,15.573728187690879
gujarati16__2558,0.0,23.042125,reference_wav,-52.1695556640625,,,24.96460427905705
hindi22__2242,0.0,26.6450625,reference_wav,-55.380065666041276,,,21.751083814990377
hindi12__1440,0.0,29.5535625,reference_wav,-51.617644881556686,,,22.517586700953085
gujarati2__199,0.0,30.5939375,reference_wav,-49.20463693200392,,,23.764949436504132
hindi21__2236,0.0,32.22775,reference_wav,-56.34967421656842,,,13.967978237216448
gujarati5__1016,0.0,21.9511875,reference_wav,-52.42572608200456,,,29.217499199789433
hindi15__1794,0.0,22.798875,reference_wav,-57.40978275767544,,,28.752566656046646
hindi1__207,0.0,26.285,reference_wav,-47.31715362305059,,,22.048963206435346
hindi31__2609,0.0,33.474875,reference_wav,-57.655969898416494,,,19.786656037544876
hindi34__2937,0.0,28.7085625,reference_wav,-55.491520811563916,,,25.50378968275084
hindi2__587,0.0,24.8468125,reference_wav,,,,
gujarati17__2824,0.0,23.6078125,reference_wav,-57.937665448962306,,,22.61445218742343
hindi29__2459,0.0,22.7494375,reference_wav,-60.066201923076925,,,22.086596513593097
hindi16__1966,0.0,27.3340625,reference_wav,-57.39105950420783,,,21.89862419191169
hindi3__593,0.0,26.2034375,reference_wav,-45.77517593034351,,,21.331201096840672
hindi25__2353,0.0,24.261125,reference_wav,-62.03473438788129,,,25.84416754696855
gujarati12__2357,0.0,26.8756875,reference_wav,-57.378121512276785,,,18.28676103717296
hindi33__2764,0.0,26.9976875,reference_wav,-50.10822337962963,,,24.110631840756323
gujarati11__2301,0.0,23.04575,reference_wav,-55.733653063991326,,,20.002608561069543
hindi23__2303,0.0,21.4465,reference_wav,-55.75452724358974,,,23.63950848683291
hindi10__1202,0.0,21.9035625,reference_wav,-53.71557862442923,,,15.787502318982586
gujarati7__1504,0.0,27.9938125,reference_wav,-52.362858386923904,,,22.52710614543952
